seed,latent_dim,fbank_size,ckpt_path,fpe,tpa,tpa_mean,tpa_std
0,2,2,results/tversky_sirl_gridrobot/tversky_sirl_dim2_fbank2_seed0.pth,0.1784011695791232,"[0.6000000238418579, 0.550000011920929, 0.5899999737739563, 0.7200000286102295, 0.7149999737739563, 0.6000000238418579, 0.5149999856948853, 0.6050000190734863]",0.6118750050663948,0.06740444794938072
1,2,2,results/tversky_sirl_gridrobot/tversky_sirl_dim2_fbank2_seed1.pth,0.178181239986494,"[0.5550000071525574, 0.5699999928474426, 0.5550000071525574, 0.6549999713897705, 0.6399999856948853, 0.5899999737739563, 0.5099999904632568, 0.5450000166893005]",0.5774999931454659,0.04575750319324668
2,2,2,results/tversky_sirl_gridrobot/tversky_sirl_dim2_fbank2_seed2.pth,0.17885804119753898,"[0.6000000238418579, 0.46000000834465027, 0.6100000143051147, 0.6949999928474426, 0.675000011920929, 0.6100000143051147, 0.5249999761581421, 0.6100000143051147]",0.5981250070035458,0.07084038196655998
0,2,4,results/tversky_sirl_gridrobot/tversky_sirl_dim2_fbank4_seed0.pth,0.17922417391505857,"[0.6399999856948853, 0.5249999761581421, 0.5899999737739563, 0.7250000238418579, 0.7450000047683716, 0.6200000047683716, 0.5600000023841858, 0.6150000095367432]",0.6274999976158142,0.07084314684112782
1,2,4,results/tversky_sirl_gridrobot/tversky_sirl_dim2_fbank4_seed1.pth,0.178181239986494,"[0.5400000214576721, 0.5799999833106995, 0.6100000143051147, 0.6850000023841858, 0.6150000095367432, 0.6150000095367432, 0.5299999713897705, 0.5699999928474426]",0.5931250005960464,0.046363885267013745
2,2,4,results/tversky_sirl_gridrobot/tversky_sirl_dim2_fbank4_seed2.pth,0.17840018348457024,"[0.6449999809265137, 0.5400000214576721, 0.5699999928474426, 0.6349999904632568, 0.6349999904632568, 0.5550000071525574, 0.6349999904632568, 0.6050000190734863]",0.6024999991059303,0.039051238324911024
0,2,8,results/tversky_sirl_gridrobot/tversky_sirl_dim2_fbank8_seed0.pth,0.17816789838645308,"[0.6650000214576721, 0.48500001430511475, 0.6150000095367432, 0.7350000143051147, 0.7549999952316284, 0.5899999737739563, 0.5049999952316284, 0.6499999761581421]",0.625,0.09120718256799805
1,2,8,results/tversky_sirl_gridrobot/tversky_sirl_dim2_fbank8_seed1.pth,0.178181239986494,"[0.5299999713897705, 0.5699999928474426, 0.625, 0.6700000166893005, 0.6200000047683716, 0.6100000143051147, 0.5, 0.550000011920929]",0.5843750014901161,0.0528818038510914
2,2,8,results/tversky_sirl_gridrobot/tversky_sirl_dim2_fbank8_seed2.pth,0.17850269676512684,"[0.5899999737739563, 0.5199999809265137, 0.574999988079071, 0.574999988079071, 0.6499999761581421, 0.5950000286102295, 0.5049999952316284, 0.574999988079071]",0.5731249898672104,0.04205186417244644
0,2,16,results/tversky_sirl_gridrobot/tversky_sirl_dim2_fbank16_seed0.pth,0.17819852289610447,"[0.5799999833106995, 0.5, 0.6000000238418579, 0.6549999713897705, 0.6700000166893005, 0.6100000143051147, 0.5649999976158142, 0.5600000023841858]",0.5925000011920929,0.05099019545738988
