seed,latent_dim,fbank_size,ckpt_path,query_sim_only,query
0,2,4,results/tiny_literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785773916.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 508, 1: 0, 2: 492}, 'n_both_nonempty': 492, 'n_ttest_run': 492, 'n_significant': {0.05: 237, 0.01: 237, 0.001: 0}, 'frac_significant': {0.05: 0.4817073170731707, 0.01: 0.4817073170731707, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 518, 1: 0, 2: 482}, 'n_both_nonempty': 482, 'n_ttest_run': 482, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 508, 1: 0, 2: 492}, 'n_both_nonempty': 492, 'n_ttest_run': 492, 'n_significant': {0.05: 237, 0.01: 237, 0.001: 0}, 'frac_significant': {0.05: 0.4817073170731707, 0.01: 0.4817073170731707, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 518, 1: 0, 2: 482}, 'n_both_nonempty': 482, 'n_ttest_run': 482, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,4,4,results/tiny_literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785773917.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 70, 2: 930}, 'n_both_nonempty': 930, 'n_ttest_run': 930, 'n_significant': {0.05: 930, 0.01: 930, 0.001: 930}, 'frac_significant': {0.05: 1.0, 0.01: 1.0, 0.001: 1.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 360, 1: 173, 2: 467}, 'n_both_nonempty': 467, 'n_ttest_run': 467, 'n_significant': {0.05: 47, 0.01: 47, 0.001: 0}, 'frac_significant': {0.05: 0.1006423982869379, 0.01: 0.1006423982869379, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 70, 2: 930}, 'n_both_nonempty': 930, 'n_ttest_run': 930, 'n_significant': {0.05: 930, 0.01: 930, 0.001: 930}, 'frac_significant': {0.05: 1.0, 0.01: 1.0, 0.001: 1.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 360, 1: 173, 2: 467}, 'n_both_nonempty': 467, 'n_ttest_run': 467, 'n_significant': {0.05: 47, 0.01: 47, 0.001: 0}, 'frac_significant': {0.05: 0.1006423982869379, 0.01: 0.1006423982869379, 0.001: 0.0}}}}"
