seed,ckpt_path,fpe,tpa
0,results/pca_gridrobot/pca_dim6.joblib,0.18114371145350167,"[0.9350000023841858, 0.8299999833106995, 0.949999988079071, 0.8450000286102295, 0.8450000286102295, 0.949999988079071, 0.8349999785423279, 0.9399999976158142]"
1,results/pca_gridrobot/pca_dim6.joblib,0.18114371145350167,"[0.925000011920929, 0.8349999785423279, 0.9399999976158142, 0.8199999928474426, 0.824999988079071, 0.9549999833106995, 0.8550000190734863, 0.9300000071525574]"
2,results/pca_gridrobot/pca_dim6.joblib,0.18114371145350167,"[0.9350000023841858, 0.8100000023841858, 0.9399999976158142, 0.8450000286102295, 0.8199999928474426, 0.9399999976158142, 0.8399999737739563, 0.9300000071525574]"
3,results/pca_gridrobot/pca_dim6.joblib,0.18114371145350167,"[0.9549999833106995, 0.8199999928474426, 0.9649999737739563, 0.8450000286102295, 0.8149999976158142, 0.9399999976158142, 0.8450000286102295, 0.949999988079071]"
4,results/pca_gridrobot/pca_dim6.joblib,0.18114371145350167,"[0.9449999928474426, 0.8349999785423279, 0.9449999928474426, 0.8399999737739563, 0.8050000071525574, 0.9449999928474426, 0.8600000143051147, 0.925000011920929]"
